comercio_id,mcc,mcc_nombre,mcc_segmento,region,tipo_persona,tenure_meses,fecha_alta
M000000,5813,Bares y clubs,alto_riesgo,El Oro,PERSONA_JURIDICA,7,2025-09-01
M000001,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,12,2025-04-01
M000002,4900,Servicios básicos,utility,Chimborazo,PERSONA_JURIDICA,11,2025-05-01
M000003,5815,Bienes digitales,alto_riesgo,Azuay,PERSONA_NATURAL,15,2025-01-01
M000004,5812,Restaurantes,retail,Pichincha,PERSONA_NATURAL,25,2024-03-01
M000005,5541,Estaciones de servicio,utility,El Oro,PERSONA_NATURAL,21,2024-07-01
M000006,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_NATURAL,21,2024-07-01
M000007,7995,Apuestas,alto_riesgo,Pichincha,PERSONA_NATURAL,6,2025-10-01
M000008,5812,Restaurantes,retail,Pichincha,PERSONA_NATURAL,12,2025-04-01
M000009,4722,Agencias de viaje,servicios,Manabí,PERSONA_NATURAL,42,2022-10-01
M000010,7011,Hoteles,servicios,Pichincha,PERSONA_NATURAL,38,2023-02-01
M000011,4900,Servicios básicos,utility,Guayas,PERSONA_NATURAL,17,2024-11-01
M000012,5815,Bienes digitales,alto_riesgo,Pichincha,PERSONA_JURIDICA,31,2023-09-01
M000013,7995,Apuestas,alto_riesgo,Guayas,PERSONA_NATURAL,24,2024-04-01
M000014,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,33,2023-07-01
M000015,5691,Tiendas de ropa,retail,Guayas,PERSONA_NATURAL,32,2023-08-01
M000016,8062,Servicios médicos,servicios,Pichincha,PERSONA_NATURAL,19,2024-09-01
M000017,5411,Supermercados,retail,Pichincha,PERSONA_NATURAL,27,2024-01-01
M000018,7995,Apuestas,alto_riesgo,Azuay,PERSONA_NATURAL,25,2024-03-01
M000019,7230,Peluquerías y estética,servicios,Guayas,PERSONA_JURIDICA,19,2024-09-01
M000020,5813,Bares y clubs,alto_riesgo,Azuay,PERSONA_NATURAL,16,2024-12-01
M000021,5732,Electrónica,retail,Pichincha,PERSONA_NATURAL,53,2021-11-01
M000022,5541,Estaciones de servicio,utility,Pichincha,PERSONA_NATURAL,19,2024-09-01
M000023,4900,Servicios básicos,utility,Pichincha,PERSONA_JURIDICA,30,2023-10-01
M000024,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_JURIDICA,50,2022-02-01
M000025,5999,Retail general,retail,Guayas,PERSONA_JURIDICA,27,2024-01-01
M000026,4722,Agencias de viaje,servicios,Loja,PERSONA_NATURAL,26,2024-02-01
M000027,5411,Supermercados,retail,Guayas,PERSONA_NATURAL,19,2024-09-01
M000028,5999,Retail general,retail,Guayas,PERSONA_NATURAL,25,2024-03-01
M000029,5815,Bienes digitales,alto_riesgo,Azuay,PERSONA_JURIDICA,15,2025-01-01
M000030,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,85,2019-03-01
M000031,5541,Estaciones de servicio,utility,Guayas,PERSONA_NATURAL,6,2025-10-01
M000032,5732,Electrónica,retail,Guayas,PERSONA_NATURAL,17,2024-11-01
M000033,7011,Hoteles,servicios,Guayas,PERSONA_NATURAL,27,2024-01-01
M000034,4722,Agencias de viaje,servicios,Pichincha,PERSONA_NATURAL,26,2024-02-01
M000035,5999,Retail general,retail,Tungurahua,PERSONA_NATURAL,15,2025-01-01
M000036,5812,Restaurantes,retail,Chimborazo,PERSONA_NATURAL,4,2025-12-01
M000037,4722,Agencias de viaje,servicios,Pichincha,PERSONA_JURIDICA,7,2025-09-01
M000038,5691,Tiendas de ropa,retail,Azuay,PERSONA_NATURAL,22,2024-06-01
M000039,5815,Bienes digitales,alto_riesgo,Tungurahua,PERSONA_JURIDICA,3,2026-01-01
M000040,4722,Agencias de viaje,servicios,Guayas,PERSONA_NATURAL,29,2023-11-01
M000041,7995,Apuestas,alto_riesgo,Tungurahua,PERSONA_JURIDICA,40,2022-12-01
M000042,5815,Bienes digitales,alto_riesgo,Azuay,PERSONA_NATURAL,32,2023-08-01
M000043,5732,Electrónica,retail,Imbabura,PERSONA_JURIDICA,36,2023-04-01
M000044,7995,Apuestas,alto_riesgo,Esmeraldas,PERSONA_NATURAL,3,2026-01-01
M000045,7995,Apuestas,alto_riesgo,Pichincha,PERSONA_NATURAL,15,2025-01-01
M000046,7011,Hoteles,servicios,Guayas,PERSONA_NATURAL,8,2025-08-01
M000047,5732,Electrónica,retail,Guayas,PERSONA_NATURAL,5,2025-11-01
M000048,5815,Bienes digitales,alto_riesgo,Pichincha,PERSONA_NATURAL,13,2025-03-01
M000049,5812,Restaurantes,retail,Guayas,PERSONA_JURIDICA,50,2022-02-01
M000050,5999,Retail general,retail,Esmeraldas,PERSONA_JURIDICA,58,2021-06-01
M000051,5411,Supermercados,retail,Pichincha,PERSONA_NATURAL,9,2025-07-01
M000052,7995,Apuestas,alto_riesgo,Guayas,PERSONA_NATURAL,20,2024-08-01
M000053,5815,Bienes digitales,alto_riesgo,El Oro,PERSONA_NATURAL,25,2024-03-01
M000054,5815,Bienes digitales,alto_riesgo,Guayas,PERSONA_JURIDICA,16,2024-12-01
M000055,5813,Bares y clubs,alto_riesgo,Guayas,PERSONA_JURIDICA,42,2022-10-01
M000056,4722,Agencias de viaje,servicios,Esmeraldas,PERSONA_NATURAL,13,2025-03-01
M000057,8062,Servicios médicos,servicios,Guayas,PERSONA_JURIDICA,12,2025-04-01
M000058,5812,Restaurantes,retail,Pichincha,PERSONA_NATURAL,10,2025-06-01
M000059,5812,Restaurantes,retail,Pichincha,PERSONA_JURIDICA,15,2025-01-01
M000060,5815,Bienes digitales,alto_riesgo,Chimborazo,PERSONA_JURIDICA,1,2026-03-01
M000061,4722,Agencias de viaje,servicios,Pichincha,PERSONA_JURIDICA,16,2024-12-01
M000062,8062,Servicios médicos,servicios,Guayas,PERSONA_NATURAL,21,2024-07-01
M000063,5813,Bares y clubs,alto_riesgo,Pichincha,PERSONA_NATURAL,22,2024-06-01
M000064,7230,Peluquerías y estética,servicios,Guayas,PERSONA_NATURAL,8,2025-08-01
M000065,8062,Servicios médicos,servicios,Chimborazo,PERSONA_JURIDICA,21,2024-07-01
M000066,8062,Servicios médicos,servicios,Guayas,PERSONA_NATURAL,21,2024-07-01
M000067,5732,Electrónica,retail,Esmeraldas,PERSONA_JURIDICA,21,2024-07-01
