comercio_id,fecha_corte,mes_idx,n_transacciones,volumen_total,ticket_promedio,n_chargebacks,n_rechazos,dias_desde_ult_tx,n_tickets_soporte,dias_resolucion_soporte,flag_pos_fisico,flag_ecommerce,n_integraciones_activas
M000000,2025-05-01,0,58,880.56,15.18,3,2,1,1,3.03,1,0,1
M000000,2025-06-01,1,50,948.57,18.97,0,2,5,0,0.0,1,0,0
M000000,2025-07-01,2,19,343.96,18.1,2,2,3,0,0.0,1,1,0
M000000,2025-08-01,3,91,1999.95,21.98,0,7,1,2,3.38,0,1,0
M000000,2025-09-01,4,64,1120.09,17.5,0,3,4,1,5.33,1,1,2
M000000,2025-10-01,5,39,769.89,19.74,0,2,3,0,0.0,1,0,0
M000000,2025-11-01,6,46,726.22,15.79,0,0,6,0,0.0,1,1,3
M000000,2025-12-01,7,44,706.92,16.07,0,2,3,0,0.0,1,0,1
M000000,2026-01-01,8,26,584.57,22.48,0,2,7,0,0.0,1,0,0
M000000,2026-02-01,9,62,1270.69,20.49,1,10,1,2,1.8,0,1,5
M000000,2026-03-01,10,53,1067.87,20.15,0,3,1,0,0.0,1,0,1
M000001,2025-05-01,0,127,1674.18,13.18,1,8,3,2,3.73,1,0,1
M000001,2025-06-01,1,131,2011.67,15.36,0,12,2,0,0.0,1,0,4
M000001,2025-07-01,2,38,410.43,10.8,0,3,0,1,0.62,1,1,0
M000001,2025-08-01,3,87,1428.23,16.42,0,11,0,3,7.11,1,0,1
M000001,2025-09-01,4,96,1972.93,20.55,2,7,1,1,3.33,1,1,1
M000001,2025-10-01,5,96,1209.81,12.6,1,6,2,2,11.39,1,1,3
M000001,2025-11-01,6,110,1881.48,17.1,0,7,4,1,10.87,1,0,2
M000001,2025-12-01,7,75,1378.11,18.37,0,6,0,4,4.96,1,0,0
M000001,2026-01-01,8,87,1313.45,15.1,0,8,0,2,2.16,0,1,2
M000001,2026-02-01,9,38,590.9,15.55,0,4,1,1,1.89,1,0,2
M000001,2026-03-01,10,82,1191.72,14.53,0,4,10,3,1.84,1,1,1
M000002,2025-05-01,0,224,2962.45,13.23,1,10,0,0,0.0,1,0,2
M000002,2025-06-01,1,158,3780.37,23.93,0,4,13,1,0.79,1,0,0
M000002,2025-07-01,2,312,4292.26,13.76,1,11,6,0,0.0,1,0,0
M000002,2025-08-01,3,288,6269.08,21.77,2,14,0,1,3.34,0,1,5
