feature,importancia_shap
count_trx_6m,0.7710577
tickets_30d,0.6285172
count_trx_3m,0.59969264
tenure_meses,0.39053196
count_trx_1m,0.32683337
ratio_count_3m_vs_total,0.28041667
count_trx_total,0.24137789
ratio_tpv_3m_vs_total,0.19639596
tickets_90d,0.14160867
satisfaccion_prom,0.12641266
volatilidad_tpv,0.11706794
region_grupo,0.11466974
segmento_ordinal,0.1042332
tasa_rechazo_6m,0.10397699
tickets_total,0.10000245
tasa_rechazo_1m,0.08795237
tipo_resiliente,0.083065145
tasa_rechazo_max_3m,0.08067029
tpv_1m,0.07483344
tasa_rechazo_3m,0.06854292
tpv_total,0.067343764
tickets_180d,0.063902214
max_caida_mensual_tpv,0.061117988
tasa_rechazo_max_6m,0.056932487
severidad_prom_90d,0.05218237
severidad_prom,0.051781636
tpv_6m,0.04584723
pendiente_count_trx_3m,0.041042436
tiempo_resolucion_max,0.03855791
ratio_pago_rechazado,0.037164014
tiempo_resolucion_prom,0.03600908
pendiente_tpv_3m,0.033847246
ratio_liquidacion_demora,0.029913343
severidad_max_90d,0.026182448
ticket_prom_3m,0.02552693
severidad_max,0.024966672
tickets_no_resueltos_actuales,0.023162277
ticket_prom_6m,0.022601297
tickets_escalados,0.021798536
ticket_prom_1m,0.019163584
dias_sin_trx_max_1m,0.014052152
tpv_3m,0.013221094
dias_sin_trx_max_6m,0.011514224
dias_sin_trx_max_3m,0.009898183
tasa_rechazo_max_1m,0.009622528
ratio_resueltos,0.009224186
ratio_app_congelada,0.008581229
tiene_ejecutivo,0.0077655916
tipo_volatil,0.0065108216
es_maduro,0.002793576
n_meses_historia,0.0005280842
es_onboarding_reciente,0.0
ratio_meses_activos,0.0
meses_activos,0.0
dias_desde_ultima_trx_global,0.0
meses_desde_ultimo_activo,0.0
